# wave (µm)	R (µW cm-2 sr-1 µm-1)
1.00209999e+01	3.03028440e+00
1.00229998e+01	3.00703330e+00
1.00249996e+01	2.98110010e+00
1.00270004e+01	2.95398120e+00
1.00290003e+01	2.91430280e+00
1.00310001e+01	2.88398890e+00
1.00330000e+01	2.83126590e+00
1.00349999e+01	2.77933340e+00
1.00369997e+01	2.72992660e+00
1.00389996e+01	2.67119380e+00
1.00410004e+01	2.60858230e+00
1.00430002e+01	2.54678850e+00
1.00450001e+01	2.47662900e+00
1.00469999e+01	2.39167710e+00
1.00489998e+01	2.29844830e+00
1.00509996e+01	2.21903800e+00
1.00530005e+01	2.14445020e+00
1.00550003e+01	2.04213380e+00
1.00570002e+01	1.91477190e+00
1.00590000e+01	1.77287960e+00
1.00609999e+01	1.63285390e+00
1.00629997e+01	1.48859750e+00
1.00649996e+01	1.32812560e+00
1.00670004e+01	1.14168000e+00
1.00690002e+01	9.03041960e-01
1.00710001e+01	6.64698840e-01
1.00729999e+01	4.94493750e-01
1.00749998e+01	4.75380030e-01
1.00769997e+01	5.23648200e-01
1.00790005e+01	5.41218940e-01
1.00810003e+01	4.38244850e-01
1.00830002e+01	4.51480720e-01
1.00850000e+01	5.82769990e-01
1.00869999e+01	8.04093180e-01
1.00889997e+01	1.00751010e+00
1.00909996e+01	1.11630540e+00
1.00930004e+01	1.03892970e+00
1.00950003e+01	1.02491830e+00
1.00970001e+01	8.36580040e-01
1.00990000e+01	9.63670130e-01
1.01009998e+01	1.11373830e+00
1.01029997e+01	1.18609390e+00
1.01049995e+01	1.09811340e+00
1.01070003e+01	1.16502770e+00
1.01090002e+01	1.52436140e+00
1.01110001e+01	1.63291940e+00
1.01129999e+01	1.37022070e+00
1.01149998e+01	1.38802190e+00
1.01169996e+01	1.81606090e+00
1.01190004e+01	2.06205180e+00
1.01210003e+01	2.00205760e+00
1.01230001e+01	2.05190300e+00
1.01250000e+01	2.06489660e+00
1.01269999e+01	2.15147810e+00
1.01289997e+01	2.40902520e+00
1.01309996e+01	2.42440410e+00
